titanic,score=0.914330447402478
#growingup,score=0.914330447402478
grew,score=0.913425060287665
seattle,score=0.913425060287665
finale,score=0.913214998318612
#followme,score=0.908395711882663
sobbing,score=0.908395711882663
spree,score=0.908395711882663
#deep,score=0.908395711882663
rascal,score=0.908395711882663
carries,score=0.908395711882663
daylight,score=0.908395711882663
bury,score=0.904905306942895
sunny,score=0.904397305915968
era,score=0.903280611215893
remembering,score=0.902341202973957
noooooo,score=0.898826260866512
losses,score=0.898826260866512
penguin,score=0.898826260866512
ca,score=0.898826260866512
w/out,score=0.898826260866512
cared,score=0.894912361545376
rip,score=0.89144615356889
buh,score=0.89144615356889
fitting,score=0.89144615356889
misery,score=0.889347516911969
knw,score=0.887776424679927
hugging,score=0.885581034116492
records,score=0.885581034116492
cuddling,score=0.881689978623525
#gutted,score=0.879408175009411
#saturday,score=0.876847354147737
breakup,score=0.876847354147737
blades,score=0.876847354147737
atlantic,score=0.876847354147737
#fucked,score=0.876847354147737
x_x,score=0.876847354147737
awks,score=0.876847354147737
healing,score=0.874561638866881
headphone,score=0.870655383899816
pawn,score=0.870655383899816
grasp,score=0.870655383899816
yh,score=0.870655383899816
dans,score=0.870655383899816
struck,score=0.870655383899816
#downtonabbey,score=0.870655383899816
26th,score=0.870655383899816
tear,score=0.866623120371878
fran,score=0.866036438043522
sums,score=0.866036438043522
#wahh,score=0.866036438043522
arrest,score=0.866036438043522
#country,score=0.866036438043522
pittsburgh,score=0.866036438043522
disneyland,score=0.866036438043522
shelter,score=0.862458616695638
emotionally,score=0.862458616695638
hugs,score=0.862458616695638
losers,score=0.862458616695638
appropriate,score=0.860955986811103
shattered,score=0.860955986811103
bipolar,score=0.860955986811103
cried,score=0.860359980038716
#miserable,score=0.859605547713231
sunglasses,score=0.85727725795364
pajamas,score=0.85727725795364
seniors,score=0.85727725795364
suffering,score=0.855341148926774
=/,score=0.853705825586043
realization,score=0.853705825586043
invisible,score=0.85230624523162
guilty,score=0.85003609669708
niggas,score=0.849401377538989
painful,score=0.847191144564849
cure,score=0.843949650640678
#gossipgirl,score=0.834287739728941
#lust,score=0.834287739728941
tissues,score=0.834287739728941
helpless,score=0.834287739728941
compassion,score=0.834287739728941
humour,score=0.834287739728941
holland,score=0.834287739728941
chiefs,score=0.834287739728941
russia,score=0.834287739728941
haunt,score=0.834287739728941
fires,score=0.834287739728941
17th,score=0.834287739728941
#old,score=0.834287739728941
linkin,score=0.834287739728941
pero,score=0.834287739728941
bck,score=0.834287739728941
#lost,score=0.834287739728941
slipping,score=0.834287739728941
clique,score=0.834287739728941
ikr,score=0.834287739728941
mfs,score=0.834287739728941
#madness,score=0.834287739728941
cuddles,score=0.834287739728941
witty,score=0.834287739728941
mitch,score=0.834287739728941
rey,score=0.834287739728941
todays,score=0.824718288712791
#thinking,score=0.823924952693395
bye,score=0.822453282081938
emotion,score=0.821548713951512
tweeter,score=0.81658816262954
dull,score=0.815239544758247
#movie,score=0.815239544758247
minnesota,score=0.813668452526206
dey,score=0.813668452526206
awareness,score=0.811814883876883
grandfather,score=0.80959512713857
mas,score=0.80959512713857
granted,score=0.80959512713857
#bed,score=0.80959512713857
comforting,score=0.803516081062188
dint,score=0.803516081062188
dvds,score=0.803516081062188
thousands,score=0.803516081062188
happend,score=0.803516081062188
drained,score=0.799196419917671
whn,score=0.799196419917671
warmer,score=0.799196419917671
ditched,score=0.799196419917671
disappointed,score=0.797473766606225
#notfair,score=0.795573227548251
divorced,score=0.793465745208686
yhu,score=0.793465745208686
cartoons,score=0.793465745208686
wounds,score=0.793465745208686
massively,score=0.793465745208686
warmth,score=0.793465745208686
wether,score=0.793465745208686
awwww,score=0.793465745208686
blister,score=0.793465745208686
loser,score=0.792087385238565
grandpa,score=0.789835977158107
shootings,score=0.789835977158107
priority,score=0.788478203697647
#sadtweet,score=0.78733075664117
selena,score=0.785497575559509
pj,score=0.785497575559509
trek,score=0.785497575559509
hoes,score=0.784616129931704
#london,score=0.780220518458666
darkness,score=0.780220518458666
coaster,score=0.780220518458666
#good,score=0.780220518458666
divorce,score=0.780220518458666
unhappy,score=0.776018831604966
dies,score=0.776018831604966
smh,score=0.775867496068571
danced,score=0.773663117912506
cartoon,score=0.773663117912506
napping,score=0.773663117912506
grim,score=0.773663117912506
imaginary,score=0.773663117912506
rappers,score=0.773663117912506
//,score=0.773663117912506
duvet,score=0.773663117912506
#mad,score=0.769368193629626
2011,score=0.768329771937144
noooo,score=0.768329771937144
esteem,score=0.768329771937144
awh,score=0.76529486824199
kindergarten,score=0.76529486824199
burden,score=0.76529486824199
kenya,score=0.76529486824199
consume,score=0.76529486824199
recognition,score=0.76529486824199
homies,score=0.76529486824199
lmaooo,score=0.76529486824199
rips,score=0.76529486824199
scars,score=0.76529486824199
hamster,score=0.761967078149315
anymore,score=0.760293272806041
#halloween,score=0.760179767575219
hurts,score=0.760179767575219
niall,score=0.760179767575219
lazy,score=0.759064318491354
grey,score=0.758848032127366
vancouver,score=0.754245032055405
brazil,score=0.754245032055405
dedicate,score=0.754245032055405
poor,score=0.754245032055405
#sadface,score=0.754245032055405
streak,score=0.754245032055405
#wishfulthinking,score=0.754245032055405
pirates,score=0.754245032055405
troy,score=0.754245032055405
fuzzy,score=0.754245032055405
funerals,score=0.754245032055405
baggy,score=0.754245032055405
#sorethroat,score=0.754245032055405
#disappointed,score=0.751596023883828
broken,score=0.750256990877449
romantic,score=0.748765566290779
bracelet,score=0.748765566290779
attend,score=0.747276362739311
vans,score=0.744675581039254
#sosad,score=0.744675581039254
injuries,score=0.744675581039254
#basketball,score=0.744675581039254
smdh,score=0.744675581039254
ment,score=0.744675581039254
murders,score=0.744675581039254
retirement,score=0.744675581039254
affected,score=0.738977559924616
noo,score=0.738977559924616
#loser,score=0.736307331368737
ouch,score=0.735196837084711
sweatpants,score=0.735196837084711
hurtful,score=0.732505045418999
deprived,score=0.732505045418999
werent,score=0.732505045418999
counselor,score=0.732505045418999
damon,score=0.732505045418999
zombies,score=0.73110350349371
gutted,score=0.729927724404698
\\,score=0.729927724404698
broke,score=0.729284430718957
#nowplaying,score=0.728927224071115
fade,score=0.728927224071115
#endoftheworld,score=0.728927224071115
upsets,score=0.728927224071115
#thatawkwardmoment,score=0.725088447763949
#time,score=0.723939682560076
empty,score=0.722628421923087
fave,score=0.721347328548346
thigh,score=0.716504704072558
wii,score=0.716504704072558
#boredom,score=0.716504704072558
heals,score=0.716504704072558
#news,score=0.716504704072558
cyrus,score=0.716504704072558
elena,score=0.716504704072558
nursery,score=0.716504704072558
98,score=0.716504704072558
rooting,score=0.716504704072558
naman,score=0.716504704072558
wrists,score=0.716504704072558
cloud,score=0.716504704072558
remembrance,score=0.716504704072558
err,score=0.716504704072558
#ignored,score=0.716504704072558
hugged,score=0.716504704072558
#reality,score=0.709990023051364
petty,score=0.706454368219056
generation,score=0.704876666077439
cutie,score=0.704234611480744
nowadays,score=0.704234611480744
noodle,score=0.704234611480744
begging,score=0.702711381940222
sweats,score=0.702711381940222
condoms,score=0.700756347104419
#cranky,score=0.700756347104419
gluten,score=0.700756347104419
tu,score=0.700756347104419
inevitable,score=0.700756347104419
leaving,score=0.698841907229519
#ill,score=0.698155565404361
#depression,score=0.696816749100339
#lies,score=0.694525797353783
ps3,score=0.692113250948399
account,score=0.690806016251251
feelings,score=0.689615803856227
wished,score=0.689105729884443
aspect,score=0.689105729884443
doom,score=0.689105729884443
reduce,score=0.680137059901683
parade,score=0.680137059901683
#storyofmylife,score=0.680137059901683
vow,score=0.680137059901683
malaysia,score=0.680137059901683
waffles,score=0.680137059901683
sur,score=0.680137059901683
shade,score=0.680137059901683
hump,score=0.680137059901683
ahahah,score=0.680137059901683
givin,score=0.680137059901683
yearbook,score=0.680137059901683
pain,score=0.676895565977512
disorder,score=0.674657594137057
moore,score=0.673019592132819
#disney,score=0.673019592132819
postponed,score=0.669984688437665
#nufc,score=0.669984688437665
#lmfao,score=0.669984688437665
noticing,score=0.667233655065775
memory,score=0.663470007416471
warped,score=0.662437482802282
wan,score=0.662437482802282
kc,score=0.662437482802282
vet,score=0.662437482802282
hv,score=0.662437482802282
ahah,score=0.656606562491489
th,score=0.656606562491489
sucks,score=0.656191366305329
roller,score=0.651966182934987
liam,score=0.651966182934987
nanny,score=0.651966182934987
edward,score=0.651966182934987
visited,score=0.651966182934987
#monday,score=0.651966182934987
insecure,score=0.648185460095081
dark,score=0.647076197640795
realistic,score=0.645045740090413
floyd,score=0.645045740090413
gots,score=0.645045740090413
remembers,score=0.645045740090413
#okay,score=0.645045740090413
mummy,score=0.642396731918836
misses,score=0.640131725287984
prior,score=0.640131725287984
aunts,score=0.640131725287984
ar,score=0.640131725287984
portland,score=0.640131725287984
latin,score=0.640131725287984
bff,score=0.640131725287984
#whattodo,score=0.640131725287984
#dissapointed,score=0.640131725287984
meltdown,score=0.640131725287984
fullest,score=0.640131725287984
alien,score=0.640131725287984
appreciation,score=0.640131725287984
cookie,score=0.639315065381428
downton,score=0.638172860802651
missed,score=0.637007699004651
pearl,score=0.636461996399021
unhealthy,score=0.636461996399021
#starving,score=0.636461996399021
whiskey,score=0.636461996399021
#thewalkingdead,score=0.63495483710845
buddy,score=0.634045952701416
virtual,score=0.63361704426679
no1,score=0.63361704426679
#writing,score=0.63361704426679
jet,score=0.631346895732251
lmaoo,score=0.631346895732251
reflect,score=0.631346895732251
craving,score=0.63007219830025
lana,score=0.629493327082928
bestie,score=0.629493327082928
paradise,score=0.629493327082928
arizona,score=0.629493327082928
#failure,score=0.627951306731113
#sandy,score=0.627951306731113
partying,score=0.626648374950697
italy,score=0.625532925866831
lost,score=0.62511613149978
loses,score=0.624567208746872
allergic,score=0.622317489012857
aw,score=0.622113219785306
suicide,score=0.617413801428327
promised,score=0.611144188414732
ashes,score=0.611144188414732
earrings,score=0.611144188414732
#moody,score=0.611144188414732
greet,score=0.611144188414732
wheat,score=0.611144188414732
kansas,score=0.611144188414732
hometown,score=0.611144188414732
flags,score=0.611144188414732
#tumblr,score=0.611144188414732
rich,score=0.611144188414732
yuh,score=0.611144188414732
#ughh,score=0.611144188414732
souls,score=0.611144188414732
resources,score=0.611144188414732
panda,score=0.611144188414732
nj,score=0.611144188414732
#badmood,score=0.611144188414732
fame,score=0.611144188414732
exhausting,score=0.611144188414732
#whyme,score=0.611144188414732
nutella,score=0.611144188414732
2morrow,score=0.611144188414732
thirst,score=0.611144188414732
awww,score=0.604026720645867
playoffs,score=0.602486125671617
dem,score=0.601665444460188
#headache,score=0.601193857561564
w/o,score=0.600672888547436
lover,score=0.597898961664711
#pray,score=0.596959553422775
afford,score=0.596959553422775
deeply,score=0.596959553422775
den,score=0.596959553422775
delhi,score=0.594614886463521
#confessionnight,score=0.593125682912053
deff,score=0.591341561118552
sweater,score=0.591341561118552
#mylife,score=0.590310101511889
bong,score=0.589165281695956
9th,score=0.589165281695956
reminds,score=0.586949459827675
reflecting,score=0.58645157582436
donate,score=0.58645157582436
#up,score=0.58645157582436
tix,score=0.58645157582436
roomie,score=0.58645157582436
fringe,score=0.58645157582436
#iloveyou,score=0.58645157582436
wa,score=0.582973311448035
unlucky,score=0.582973311448035
tx,score=0.582973311448035
#winter,score=0.582973311448035
#smh,score=0.582973311448035
nicer,score=0.582973311448035
ana,score=0.582973311448035
mood,score=0.579762587673563
90210,score=0.578354365591741
spirits,score=0.578354365591741
indoors,score=0.578354365591741
luxury,score=0.578354365591741
almond,score=0.578354365591741
backup,score=0.578354365591741
2009,score=0.578354365591741
montreal,score=0.578354365591741
produced,score=0.578354365591741
drinkin,score=0.578354365591741
elephant,score=0.578354365591741
nite,score=0.578354365591741
surreal,score=0.578354365591741
avengers,score=0.578354365591741
capacity,score=0.578354365591741
wala,score=0.578354365591741
rally,score=0.575426105812652
#worry,score=0.575426105812652
sympathy,score=0.575426105812652
upset,score=0.575005141798858
expression,score=0.57192347526145
nyc,score=0.57192347526145
#summer,score=0.567659076474993
et,score=0.567659076474993
#bipolar,score=0.567659076474993
nooooo,score=0.5623540242453
curled,score=0.5623540242453
episodes,score=0.5623540242453
tshirt,score=0.5623540242453
2k,score=0.5623540242453
